sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
479149,20201209,580,503,201,31.61033797,"['19011112282', '19011111612', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'left Striatum' 'right Striatum'],"[80, 66, 299]"
479149,20201210,640,414,170,42.02898551,"['19011112282', '19011112522', '19011111612', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[96, 76, 148, 168]"
479149,20201211,410,360,195,53.05555556,"['18005107812', '18005107871', '18408406182', '18408406312', '18194809181']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Striatum' 'right Striatum'],"[118, 112, 150, 558]"
479149,20201214,450,312,131,51.92307692,"['18005107812', '18408406182', '18005107871', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ECT' 'right ECT' 'left Midbrain' 'right Midbrain'],"[258, 378, 231, 270]"
479149,20201216,264,189,94,58.73015873,"['18005107812', '18005107871', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left BLA' 'right BLA' 'right Midbrain'],"[275, 401, 211]"
479149,20201217,440,324,143,73.14814815,"['19011112282', '19011112522', '18005117122']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 1.0 - 3B']",['left Thalamus' 'right Thalamus' 'left Midbrain'],"[354, 174, 228]"
479149,20201218,520,441,200,70.06802721,"['19011112282', '19011112522', '18005117122']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 1.0 - 3B']",['left Thalamus' 'right Thalamus' 'left Midbrain'],"[232, 277, 212]"
480133,20201224,470,431,276,28.53828306,"['19011112282', '19011111612', '19011112522']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'right Midbrain' 'left Thalamus'],"[98, 96, 187]"
480133,20201225,666,455,286,46.37362637,"['19011112282', '19011111612', '19011112522']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - MS']",['left ALM' 'right Midbrain' 'left Thalamus'],"[133, 99, 378]"
480133,20201226,700,384,250,59.63541667,"['18005107812', '18005107871', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right Midbrain' 'left Thalamus'],"[235, 458, 431]"
480133,20201229,530,450,298,62.44444444,"['18408406182', '18005107812', '18005117122', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Thalamus'],"[145, 249, 421, 425]"
480133,20201230,540,353,241,48.72521246,"['18005107812', '18005107871', '18408406312', '18005117122', '18194809181']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left ALM' 'right ALM' 'left Midbrain' 'right Thalamus' 'left Thalamus'],"[60, 351, 442, 479, 417]"
480133,20201231,490,332,235,55.42168675,"['18005107812', '18005107871', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Midbrain'],"[310, 655, 403]"
480133,20210101,500,332,203,48.79518072,"['18005107812', '18005107871', '18005117122']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']",['left Striatum' 'right Striatum' 'left Midbrain'],"[137, 340, 234]"
